,Date,Place,Address,City,State,County,Neighborhood,category,Note ,Score,anything special,alcohol,smoking,eat in,bathroom,parking,cash only,sizes,cost,roll,who's,roll s,meat ,meat s,cheese,cheese s,extras,extras s,overall,overall s,SCORE,Unnamed: 31,Instagram,YouTube,location,geo,latitude,longitude
0,5/16/2018,Claymont Steak Shop,3526 Philadelphia Pike,Claymont,DE,New Castle County,,sandwich shop,"Still a good cheesesteak but not what they use to be.  plenty of parking, room to eat and bathrooms.  Just not the Claymont steaks I use to get in High School.",75,,no,no,yes,yes,yes,no,3,,good,,15,"rib eye, some burnt",15,clumpy,15,attmepted to mix,15,the mighty have fallen,15,75,,,,"3526 Philadelphia Pike, Claymont DE","3526 Philadelphia Pike, Claymont, Delaware 19703, United States",39.802341,-75.45748
1,5/17/2018,Ishkabibbles,337 South St,Philadelphia,PA,Philadelphia County,south philly,sandwich shop,"Very good cheesesteak.  They open for Breakfast so you can go early.  I got there and beat the South St crazies.  Very good cheesesteak, great location",87,open early,no,no,yes,yes,no,$10 min charge,1,$9.00,very good roll,liscio's,17,sirlion and good amount,17,"provolone, decent melt",18,"shrooms grilled and chopped in, LT lost",16,beautiful morning on South ST,19,87,,,,"337 South St, Philadelphia PA","337 South Street, Philadelphia, Pennsylvania 19147, United States",39.941716,-75.148782
2,5/20/2018,Tom's,3223 Concord Rd,Aston,PA,Delaware County,,bar/restaraunt,"A Good Cheesesteak.  It's a bar with good size dining room and plenty of TV's.  If you are near Aston and need a place to watch a game and eat a cheesesteak, here you go.",80,,yes,IDK,yes,yes,yes,no,full menu,IDK,didn't hold up,aversa's,15,"Ribeye, good amount & taste",18,a lot,15,"mixed, good amount, nice LT",16,good overall cheesesteak,16,80,,,,"3223 Concord Rd, Aston PA","3223 Concord Rd, Aston, Pennsylvania 19014, United States",39.86776,-75.42503
3,5/21/2018,Woodrow's,630 South ST,Philadelphia,PA,Philadelphia County,south philly,sandwich shop,A very good cheesesteak but not a tradtional pizza shop cheesesteak.  They make it their way with their awesome special sauces.  Great casual date place.,90,,no,no,yes,yes,no,no,1,$12.00,the roll did it's best but couldn't hold up to the sauces,aversa's,17,"Ribeye, good amount & Taste.  a few pieces of fat",18,"Woodrow made wiz, go to their website they describe it beeter than me",18,"get it woodrows way, his sauces are amazing",19,great overall sandwich,18,90,,,,"630 South ST, Philadelphia PA","630 South Street, Philadelphia, Pennsylvania 19147, United States",39.941937,-75.153194
4,5/23/2018,Wiz Kid,124 S 19th ST,Philadelphia,PA,Philadelphia County,center city,sandwich shop,Happy Vegans and they serve alcohol.  It did not taste like a cheesesteak but it had a lot of flavor,*****,Vegan Cheesesteak,yes,no,yes,yes,"no, i got a parking tix",no,1,$9.50,love the roll,Baker St,,Marinated Seitan.  very very very flavorful,,"Rutabaga, CS was flavorful, I guess rutagag helped",,very flavorful,,everyone seemed to e having a great time.,,,,,,"124 S 19th ST, Philadelphia PA","124 South 19th Street, Philadelphia, Pennsylvania 19103, United States",39.951007,-75.172377
5,5/24/2018,Boccella's Deli,37 W Eagle Rd,Havertown,PA,Delaware County,,deli,Cheesesteaks stands on it's own but this place has a few tables and craft beer.  all around great place.,87,,yes,no,6(?) tables,yes,yes,no,idk,,good roll,,17,"sirloin tip, very good",18,good melt,17,being a deli I thought it would be better,16,Boccella's was an early happy surprise find,19,87,,,,"37 W Eagle Rd, Havertown PA","37 West Eagle Road, Havertown, Pennsylvania 19083, United States",39.986927,-75.312091
6,5/25/2018,Leo's Steak Shop,1403 Chester Pike,Folcroft,PA,Delaware County,,sandwich shop,"A cheesesteak's cheesesteak.  If you want a big cheesesteak, go to Leo's.  They have a couple picninc tables outside but you'll probably want your own place to eat them while they are hot.  Lettuce and tomato are on the bottom which I am not a fan.",82,,no,no,"no, tables outside",yes,no,no,s/l,not bad,okay roll,amaroso,17,excellent and plenty,18,good melt,16,good but I don't like on the bottom,16,a cheesesteak's cheesesteak,15,82,,,,"1403 Chester Pike, Folcroft PA","1403 Chester Pike, Folcroft, Pennsylvania 19032, United States",39.905218,-75.27942
7,5/25/2018,Tony Luke's,39 E Oregon Ave,Philadelphia,PA,Philadelphia County,south philly,sandwich shop,One of Philly's stand outs.  They got my order wrong.  Very good meat and roll.  Very good cheesesteak and under bridge semi outdoor experience.,81,,no,no,yes,port-a-potty,yes,IDK,IDK,IDK,okay roll,,17,chopped heaven,19,"they gave me whiz, I hate whiz",13,"not very good, lettuce felt like celery stalk",16,competing journalist with film crew made for bad experience.,16,81,,,,"39 E Oregon Ave, Philadelphia PA","39 East Oregon Avenue, Philadelphia, Pennsylvania 19148, United States",39.914117,-75.148696
8,5/27/2018,Big Joe's,416 Wanamaker Ave,Essington,PA,Delaware County,,pizza shop,"I am a big fan of Big Joe.  He has some counter space to eat. IU always get a pack of chocolate chip cookies for $1.  Big Flavor, Big Time",87,,no,no,5 stools,no,no,no,2,IDK,very good roll,liscio's,17,very good flavor and chop,18,good melt,17,"very good shrooms, everything mixed in nicely",17,great chat with Big Joe! very nice place especially when he has 3 choc chip cookies for $1,18,87,,,,"416 Wanamaker Ave, Essington PA","416 Wanamaker Ave, Essington, Pennsylvania 19029, United States",39.86646,-75.30058
9,5/29/2018,Michael's,1300 Jefferson ave,Woodlyn,PA,Delaware County,,sandwich shop,Great cheesesteak for a long time.  Everything gets chopped in and a very good cheese melt.  this trip I had a gristle but still a very good cheesesteak.  room to eat and a bathroom.,84,,no,no,yes,i guess,kind of,no,3,,my new favorite,corropolese,17,"ribeye, definitwely real steak because of grisel",16,"good melt, maybe needed more",16,"shrooms and fried onions very good, LT on top",17,"lots of meat, corropolese, I think I love you",18,84,,,,"1300 Jefferson ave, Woodlyn PA","1300 Jefferson Ave, Woodlyn, Pennsylvania 19094, United States",39.8748,-75.34382
